executed_at,symbol,name,side,quantity,price,amount,fee,realized_pnl,action_code,note,source
2024-04-29T14:50:00,510500,中证500ETF,buy,100.0,5.3286,532.86,0.27,0.0,buy_open,类别优势明确，入场分和综合分都已过阈值，且组合还有仓位空间，建议开仓。,backtest
2024-04-30T14:50:00,510500,中证500ETF,sell,100.0,5.2874,528.74,0.26,-4.65,sell_exit,退出分显著抬升，且目标组合已不再保留这只持仓，建议清仓。,backtest
2025-03-06T14:50:00,512690,酒ETF,buy,1100.0,0.6022,662.4,0.33,0.0,buy_open,类别优势明确，入场分和综合分都已过阈值，且组合还有仓位空间，建议开仓。,backtest
2025-03-10T14:50:00,512690,酒ETF,sell,1100.0,0.6128,674.1,0.34,11.03,reduce,当前目标仓位已经降到接近零，且退出压力抬升，先减仓退出这只持仓。,backtest
2025-03-11T14:50:00,512690,酒ETF,buy,1100.0,0.6292,692.11,0.35,0.0,buy_open,类别优势明确，入场分和综合分都已过阈值，且组合还有仓位空间，建议开仓。,backtest
2025-03-12T14:50:00,512690,酒ETF,sell,500.0,0.6238,311.91,0.16,-3.0,reduce,当前目标仓位下降，且退出分抬升，先减仓向目标权重靠拢。,backtest
2025-03-13T14:50:00,512690,酒ETF,sell,600.0,0.6228,373.69,0.19,-4.21,sell_exit,退出分显著抬升，且目标组合已不再保留这只持仓，建议清仓。,backtest
2025-07-11T14:50:00,512690,酒ETF,buy,1200.0,0.5702,684.21,0.34,0.0,buy_open,类别优势明确，入场分和综合分都已过阈值，且组合还有仓位空间，建议开仓。,backtest
2025-07-15T14:50:00,512690,酒ETF,sell,1200.0,0.5618,674.2,0.34,-10.69,sell_exit,退出分显著抬升，且目标组合已不再保留这只持仓，建议清仓。,backtest
2025-07-18T14:50:00,510500,中证500ETF,buy,100.0,6.1048,610.48,0.31,0.0,buy_open,类别优势明确，入场分和综合分都已过阈值，且组合还有仓位空间，建议开仓。,backtest
2025-07-22T14:50:00,510500,中证500ETF,sell,100.0,6.2281,622.81,0.31,11.71,sell_exit,退出分显著抬升，且目标组合已不再保留这只持仓，建议清仓。,backtest
2025-08-12T14:50:00,510500,中证500ETF,buy,100.0,6.4369,643.69,0.32,0.0,buy_open,类别优势明确，入场分和综合分都已过阈值，且组合还有仓位空间，建议开仓。,backtest
2025-08-13T14:50:00,510500,中证500ETF,sell,100.0,6.518,651.8,0.33,7.46,reduce,当前目标仓位已经降到接近零，且退出压力抬升，先减仓退出这只持仓。,backtest
2025-08-18T14:50:00,510500,中证500ETF,buy,100.0,6.688,668.8,0.33,0.0,buy_open,类别优势明确，入场分和综合分都已过阈值，且组合还有仓位空间，建议开仓。,backtest
2025-08-19T14:50:00,510500,中证500ETF,sell,100.0,6.669,666.9,0.33,-2.56,reduce,当前目标仓位已经降到接近零，且退出压力抬升，先减仓退出这只持仓。,backtest
2025-08-22T14:50:00,510500,中证500ETF,buy,100.0,6.8551,685.51,0.34,0.0,buy_open,类别优势明确，入场分和综合分都已过阈值，且组合还有仓位空间，建议开仓。,backtest
2025-08-25T14:50:00,510500,中证500ETF,sell,100.0,6.9729,697.29,0.35,11.09,reduce,当前目标仓位已经降到接近零，且退出压力抬升，先减仓退出这只持仓。,backtest
